Statistical profiling result from isolate-0x24ccd10-v8.log, (11708 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage._renderHeaders _http_outgoing.js:384:52
      1    0.0%    0.0%  LazyCompile: ~NativeModule.require node.js:883:34
      1    0.0%    0.0%  LazyCompile: ~Module._nodeModulePaths module.js:189:35
      1    0.0%    0.0%  LazyCompile: ~Module module.js:26:16
      1    0.0%    0.0%  LazyCompile: ~IncomingMessage.read _http_incoming.js:73:42
      1    0.0%    0.0%  LazyCompile: handle /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/router/layer.js:86:49
      1    0.0%    0.0%  LazyCompile: fs.readFileSync fs.js:384:27
      1    0.0%    0.0%  LazyCompile: IN native runtime.js:352:15
      1    0.0%    0.0%  LazyCompile: Error native messages.js:640:21
      1    0.0%    0.0%  LazyCompile: APPLY_PREPARE native runtime.js:412:37
      1    0.0%    0.0%  LazyCompile: *writeGeometry /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:110:23
      1    0.0%    0.0%  LazyCompile: *split native string.js:420:23
      1    0.0%    0.0%  LazyCompile: *needFinish _stream_writable.js:447:20
      1    0.0%    0.0%  LazyCompile: *analyzePoint /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:78:22
      1    0.0%    0.0%  LazyCompile: *ToUint32 native runtime.js:601:18
      1    0.0%    0.0%  LazyCompile: *String native string.js:24:27
      1    0.0%    0.0%  LazyCompile: *PropertyDescriptor_SetGetter native v8natives.js:353:47
      1    0.0%    0.0%  LazyCompile: *Pbf.writeStringField /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:366:31
      1    0.0%    0.0%  LazyCompile: *Line.perpendicularDistance /home/phillipdaw/code/gpxAQI/server/node_modules/simplify-geometry/lib/line.js:64:48
      1    0.0%    0.0%  LazyCompile: *DefineOwnProperty native v8natives.js:630:27
      1    0.0%    0.0%  LazyCompile: *Buffer buffer.js:47:16
      1    0.0%    0.0%  LazyCompile: *ArrayBuffer native arraybuffer.js:13:32
      1    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
      1    0.0%    0.0%  KeyedStoreIC:  {597}
      1    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot {2}
      1    0.0%    0.0%  Handler: toLowerCase
      1    0.0%    0.0%  Handler: statusCode
      1    0.0%    0.0%  Handler: res
      1    0.0%    0.0%  Handler: originalUrl
      1    0.0%    0.0%  Handler: oncomplete
      1    0.0%    0.0%  Handler: listenerCount
      1    0.0%    0.0%  Handler: fresh
      1    0.0%    0.0%  Handler: _flushOutput
      1    0.0%    0.0%  Handler: _eventsCount
      1    0.0%    0.0%  Handler: Object
      1    0.0%    0.0%  Handler: Math
      1    0.0%    0.0%  Handler: JSON
      1    0.0%    0.0%  Handler: ETag
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {7}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {6}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {5}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {4}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {3}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {2}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {1}
      1    0.0%    0.0%  Handler: $toPositiveInteger
      1    0.0%    0.0%  Function: ~<anonymous> /home/phillipdaw/code/gpxAQI/server/node_modules/body-parser/lib/types/json.js:1:11
      1    0.0%    0.0%  Builtin: JSConstructStubGeneric

 [C++]:
   ticks  total  nonlib   name
    840    7.2%    8.0%  v8::internal::FastDtoa(double, v8::internal::FastDtoaMode, int, v8::internal::Vector<char>, int*, int*)
    349    3.0%    3.3%  v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::FixedArray*, v8::internal::Map*)
    339    2.9%    3.2%  v8::internal::BasicJsonStringifier::Result v8::internal::BasicJsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
    329    2.8%    3.1%  v8::internal::Strtod(v8::internal::Vector<char const>, int)
    318    2.7%    3.0%  v8::internal::JsonParser<true>::ParseJsonNumber()
    297    2.5%    2.8%  v8::internal::BasicJsonStringifier::SerializeDouble(double)
