Statistical profiling result from isolate-0x1fd2d10-v8.log, (17037 ticks, 3 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
      3    0.0%

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~app /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/express.js:38:21
      1    0.0%    0.0%  LazyCompile: ~_tickCallback node.js:335:27
      1    0.0%    0.0%  LazyCompile: ~Writable.write _stream_writable.js:186:36
      1    0.0%    0.0%  LazyCompile: ~UseSparseVariant native array.js:89:26
      1    0.0%    0.0%  LazyCompile: ~ToPositiveInteger native runtime.js:672:27
      1    0.0%    0.0%  LazyCompile: ~SendStream /home/phillipdaw/code/gpxAQI/server/node_modules/send/index.js:96:21
      1    0.0%    0.0%  LazyCompile: ~Readable.push _stream_readable.js:99:35
      1    0.0%    0.0%  LazyCompile: ~PropertyDescriptor native v8natives.js:281:28
      1    0.0%    0.0%  LazyCompile: ~Pbf.writeSVarint /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:261:27
      1    0.0%    0.0%  LazyCompile: ~Pbf /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:7:13
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage.write _http_outgoing.js:411:43
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage.setHeader _http_outgoing.js:329:47
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage._storeHeader _http_outgoing.js:188:50
      1    0.0%    0.0%  LazyCompile: ~ObjectGetOwnPropertyKeys native v8natives.js:688:34
      1    0.0%    0.0%  LazyCompile: ~Module.load module.js:335:33
      1    0.0%    0.0%  LazyCompile: ~Mime.lookup /home/phillipdaw/code/gpxAQI/server/node_modules/mime/mime.js:69:33
      1    0.0%    0.0%  LazyCompile: ~InsertionSort native array.js:683:30
      1    0.0%    0.0%  LazyCompile: ~IncomingMessage._dump _http_incoming.js:173:43
      1    0.0%    0.0%  LazyCompile: ~Hash.update crypto.js:66:33
      1    0.0%    0.0%  LazyCompile: ~DefineObjectProperty native v8natives.js:461:30
      1    0.0%    0.0%  LazyCompile: ~<anonymous> native v8natives.js:1199:16
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /home/phillipdaw/code/gpxAQI/server/node_modules/aproba/index.js:51:48
      1    0.0%    0.0%  LazyCompile: matchLayer /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/router/index.js:572:20
      1    0.0%    0.0%  LazyCompile: handle /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/router/layer.js:86:49
      1    0.0%    0.0%  LazyCompile: APPLY_PREPARE native runtime.js:412:37
      1    0.0%    0.0%  LazyCompile: *toString native v8natives.js:1026:26
      1    0.0%    0.0%  LazyCompile: *storeHeader _http_outgoing.js:301:21
      1    0.0%    0.0%  LazyCompile: *slice native string.js:386:21
      1    0.0%    0.0%  LazyCompile: *posix.normalize path.js:449:27
      1    0.0%    0.0%  LazyCompile: *posix.extname path.js:561:25
      1    0.0%    0.0%  LazyCompile: *parserOnMessageComplete _http_common.js:115:33
      1    0.0%    0.0%  LazyCompile: *parse native json.js:40:19
      1    0.0%    0.0%  LazyCompile: *module.exports.processFeatures.filterFeaturesByBounds.clipPolysByBounds /home/phillipdaw/code/gpxAQI/server/lib/polygonFun.js:60:29
      1    0.0%    0.0%  LazyCompile: *module.exports.geojsonToGeobuf /home/phillipdaw/code/gpxAQI/server/lib/geobufFun.js:8:27
      1    0.0%    0.0%  LazyCompile: *hasListeners /home/phillipdaw/code/gpxAQI/server/node_modules/send/index.js:1022:23
      1    0.0%    0.0%  LazyCompile: *getSouth /home/phillipdaw/code/gpxAQI/server/node_modules/geobound-object/index.js:59:33
      1    0.0%    0.0%  LazyCompile: *generateETag /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/utils.js:275:32
      1    0.0%    0.0%  LazyCompile: *exports._unrefActive timers.js:599:32
      1    0.0%    0.0%  LazyCompile: *ceil native math.js:26:18
      1    0.0%    0.0%  LazyCompile: *PropertyDescriptor_HasValue native v8natives.js:319:48
      1    0.0%    0.0%  LazyCompile: *Pbf.writeDoubleField /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:374:31
      1    0.0%    0.0%  LazyCompile: *NativeModule.require node.js:883:34
      1    0.0%    0.0%  LazyCompile: *Line.perpendicularDistance /home/phillipdaw/code/gpxAQI/server/node_modules/simplify-geometry/lib/line.js:64:48
      1    0.0%    0.0%  LazyCompile: *InnerArrayForEach native array.js:924:27
      1    0.0%    0.0%  LazyCompile: *Console.log console.js:35:33
      1    0.0%    0.0%  LazyCompile: *<anonymous> node.js:199:48
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/phillipdaw/code/gpxAQI/server/node_modules/geojson-slicer/index.js:115:34
      1    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot {2}
      1    0.0%    0.0%  Handler: writeMessage
      1    0.0%    0.0%  Handler: write
      1    0.0%    0.0%  Handler: toString {NaN}
      1    0.0%    0.0%  Handler: setConfigurable
      1    0.0%    0.0%  Handler: set
      1    0.0%    0.0%  Handler: pos
      1    0.0%    0.0%  Handler: oncomplete
      1    0.0%    0.0%  Handler: join
      1    0.0%    0.0%  Handler: harmony_regexps
      1    0.0%    0.0%  Handler: handle
      1    0.0%    0.0%  Handler: getEast
      1    0.0%    0.0%  Handler: fresh
      1    0.0%    0.0%  Handler: exec
      1    0.0%    0.0%  Handler: call
      1    0.0%    0.0%  Handler: args
      1    0.0%    0.0%  Handler: _cacheControl
      1    0.0%    0.0%  Handler: Object
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {8}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {6}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {4}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {2}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {1}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {12}
