Statistical profiling result from isolate-0x2baed10-v8.log, (589 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.2%    0.3%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParsePrimaryExpression(v8::internal::ExpressionClassifier*, bool*)
      1    0.2%    0.3%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParseConditionalExpression(bool, v8::internal::ExpressionClassifier*, bool*)
      1    0.2%    0.3%  v8::internal::Parser::ParseVariableDeclarations(v8::internal::ParserBase<v8::internal::ParserTraits>::VariableDeclarationContext, v8::internal::Parser::DeclarationParsingResult*, bool*)
      1    0.2%    0.3%  v8::internal::Parser::ParseSubStatement(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.2%    0.3%  v8::internal::Parser::ParseStatementList(v8::internal::ZoneList<v8::internal::Statement*>*, int, bool*)
      1    0.2%    0.3%  v8::internal::Parser::ParseIfStatement(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.2%    0.3%  v8::internal::Parser::Internalize(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Script>, bool)
      1    0.2%    0.3%  v8::internal::Object::AddDataProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, PropertyAttributes, v8::internal::LanguageMode, v8::internal::Object::StoreFromKeyed)
      1    0.2%    0.3%  v8::internal::Name::Equals(v8::internal::Name*)
      1    0.2%    0.3%  v8::internal::MemoryChunk::Initialize(v8::internal::Heap*, unsigned char*, unsigned long, unsigned char*, unsigned char*, v8::internal::Executability, v8::internal::Space*)
      1    0.2%    0.3%  v8::internal::MarkCompactCollector::SweepSpaces()
      1    0.2%    0.3%  v8::internal::Map::ReconfigureProperty(v8::internal::Handle<v8::internal::Map>, int, v8::internal::PropertyKind, PropertyAttributes, v8::internal::Representation, v8::internal::Handle<v8::internal::TypeImpl<v8::internal::HeapTypeConfig> >, v8::internal::StoreMode)
      1    0.2%    0.3%  v8::internal::MacroAssembler::Prologue(bool)
      1    0.2%    0.3%  v8::internal::MacroAssembler::Move(v8::internal::Operand const&, v8::internal::Handle<v8::internal::Object>)
      1    0.2%    0.3%  v8::internal::LookupIterator::PrepareTransitionToDataProperty(v8::internal::Handle<v8::internal::Object>, PropertyAttributes, v8::internal::Object::StoreFromKeyed)
      1    0.2%    0.3%  v8::internal::Log::MessageBuilder::AppendVA(char const*, __va_list_tag*)
      1    0.2%    0.3%  v8::internal::LoadIC::Load(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>)
      1    0.2%    0.3%  v8::internal::LargeObjectSpace::FindPage(unsigned char*)
      1    0.2%    0.3%  v8::internal::Label::pos() const
      1    0.2%    0.3%  v8::internal::LCodeGenBase::GenerateBody()
      1    0.2%    0.3%  v8::internal::LAllocator::TryAllocateFreeReg(v8::internal::LiveRange*)
      1    0.2%    0.3%  v8::internal::LAllocator::MeetConstraintsBetween(v8::internal::LInstruction*, v8::internal::LInstruction*, int)
      1    0.2%    0.3%  v8::internal::LAllocator::AddToInactive(v8::internal::LiveRange*)
      1    0.2%    0.3%  v8::internal::JsonParser<true>::ParseJsonObject()
      1    0.2%    0.3%  v8::internal::JSObjectWalkVisitor<v8::internal::AllocationSiteCreationContext>::StructureWalk(v8::internal::Handle<v8::internal::JSObject>)
      1    0.2%    0.3%  v8::internal::JSObject::SetMapAndElements(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::FixedArrayBase>)
      1    0.2%    0.3%  v8::internal::JSMessageObject** v8::internal::HandleScope::CreateHandle<v8::internal::JSMessageObject>(v8::internal::Isolate*, v8::internal::JSMessageObject*)
      1    0.2%    0.3%  v8::internal::IteratingStringHasher::VisitConsString(v8::internal::ConsString*)
      1    0.2%    0.3%  v8::internal::Isolate::get_initial_js_array_map(v8::internal::ElementsKind, v8::internal::Strength)
      1    0.2%    0.3%  v8::internal::Isolate::IsInternallyUsedPropertyName(v8::internal::Handle<v8::internal::Object>)
      1    0.2%    0.3%  v8::internal::InternalizedStringKey::IsMatch(v8::internal::Object*)
      1    0.2%    0.3%  v8::internal::InnerPointerToCodeCache::GcSafeFindCodeForInnerPointer(unsigned char*)
      1    0.2%    0.3%  v8::internal::IncrementalStringBuilder::Accumulate(v8::internal::Handle<v8::internal::String>)
      1    0.2%    0.3%  v8::internal::IncrementalMarking::UpdateMarkingDequeAfterScavenge()
      1    0.2%    0.3%  v8::internal::IC::address() const
      1    0.2%    0.3%  v8::internal::IC::OnTypeFeedbackChanged(v8::internal::Isolate*, unsigned char*, v8::internal::InlineCacheState, v8::internal::InlineCacheState, bool)
      1    0.2%    0.3%  v8::internal::Heap::IteratePointersToFromSpace(v8::internal::HeapObject*, int, void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*))
      1    0.2%    0.3%  v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::FixedArray*, v8::internal::Map*)
      1    0.2%    0.3%  v8::internal::Heap::AllocateWeakCell(v8::internal::HeapObject*)
      1    0.2%    0.3%  v8::internal::Heap::Allocate(v8::internal::Map*, v8::internal::AllocationSpace, v8::internal::AllocationSite*)
      1    0.2%    0.3%  v8::internal::HashTable<v8::internal::NameDictionary, v8::internal::NameDictionaryShape, v8::internal::Handle<v8::internal::Name> >::Rehash(v8::internal::Handle<v8::internal::NameDictionary>, v8::internal::Handle<v8::internal::Name>)
      1    0.2%    0.3%  v8::internal::Handle<v8::internal::String> v8::internal::JsonParser<true>::ScanJsonString<true>()
      1    0.2%    0.3%  v8::internal::HValue::GetMonomorphicJSObjectMap()
      1    0.2%    0.3%  v8::internal::HRangeAnalysisPhase::TraceRange(char const*, ...)
      1    0.2%    0.3%  v8::internal::HOptimizedGraphBuilder::VisitDeclarations(v8::internal::ZoneList<v8::internal::Declaration*>*)
      1    0.2%    0.3%  v8::internal::HInstructionMap::Insert(v8::internal::HInstruction*, v8::internal::Zone*)
      1    0.2%    0.3%  v8::internal::HEnvironment::AddIncomingEdge(v8::internal::HBasicBlock*, v8::internal::HEnvironment*)
      1    0.2%    0.3%  v8::internal::HDehoistIndexComputationsPhase::Run()
      1    0.2%    0.3%  v8::internal::HBasicBlock::Finish(v8::internal::HControlInstruction*, v8::internal::SourcePosition)
      1    0.2%    0.3%  v8::internal::FunctionCallbackArguments::Call(void (*)(v8::FunctionCallbackInfo<v8::Value> const&))
      1    0.2%    0.3%  v8::internal::FullCodeGenerator::SetExpressionPosition(v8::internal::Expression*, v8::internal::FullCodeGenerator::InsertBreak)
      1    0.2%    0.3%  v8::internal::FlexibleBodyVisitor<v8::internal::NewSpaceScavenger, v8::internal::FixedArray::BodyDescriptor, int>::Visit(v8::internal::Map*, v8::internal::HeapObject*)
      1    0.2%    0.3%  v8::internal::FixedArray::set(int, v8::internal::Object*)
      1    0.2%    0.3%  v8::internal::FeedbackNexus::ConfigurePremonomorphic()
      1    0.2%    0.3%  v8::internal::Factory::NewProperSubString(v8::internal::Handle<v8::internal::String>, int, int)
      1    0.2%    0.3%  v8::internal::Factory::NewMap(v8::internal::InstanceType, int, v8::internal::ElementsKind)
      1    0.2%    0.3%  v8::internal::ExternalReference::ExternalReference(v8::internal::Runtime::FunctionId, v8::internal::Isolate*)
      1    0.2%    0.3%  v8::internal::Expression::IsNullLiteral() const
      1    0.2%    0.3%  v8::internal::DescriptorArray::Sort()
      1    0.2%    0.3%  v8::internal::DescriptorArray::Append(v8::internal::Descriptor*)
      1    0.2%    0.3%  v8::internal::DependentCode::MarkCodeForDeoptimization(v8::internal::Isolate*, v8::internal::DependentCode::DependencyGroup)
      1    0.2%    0.3%  v8::internal::DeferredHandles::~DeferredHandles()
      1    0.2%    0.3%  v8::internal::Context::AddOptimizedCode(v8::internal::Code*)
      1    0.2%    0.3%  v8::internal::CompleteParserRecorder::CompleteParserRecorder()
      1    0.2%    0.3%  v8::internal::Compiler::GetLazyCode(v8::internal::Handle<v8::internal::JSFunction>)
      1    0.2%    0.3%  v8::internal::CompilationInfo::language_mode() const
      1    0.2%    0.3%  v8::internal::CompareOperation::IsLiteralCompareTypeof(v8::internal::Expression**, v8::internal::Handle<v8::internal::String>*)
      1    0.2%    0.3%  v8::internal::CodeStub::GenerateFPStubs(v8::internal::Isolate*)
      1    0.2%    0.3%  v8::internal::CodeStub::FindCodeInCache(v8::internal::Code**)
      1    0.2%    0.3%  v8::internal::CodeStub::Dispatch(v8::internal::Isolate*, unsigned int, void**, void (*)(v8::internal::CodeStub*, void**))
      1    0.2%    0.3%  v8::internal::BasicJsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
      1    0.2%    0.3%  v8::internal::AstValueFactory::GetString(unsigned int, bool, v8::internal::Vector<unsigned char const>)
      1    0.2%    0.3%  v8::internal::AstValueFactory::AstRawStringCompare(void*, void*)
      1    0.2%    0.3%  v8::internal::AstNumbering::Renumber(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::FunctionLiteral*)
      1    0.2%    0.3%  v8::internal::Assembler::pushq(v8::internal::Register)
      1    0.2%    0.3%  v8::internal::Assembler::Assembler(v8::internal::Isolate*, void*, int)
